,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar,xbar,ybar,zbar
390,0.0037787,3.14E-05,0.017709,0.00067382,-2.02E-05,0.0032631,0.013138,0.00038558,0.060575,0.0014543,1.12E-05,0.0068312,0.0029702,-8.37E-05,0.0145,0.0063165,0.00030163,0.028978,0.0014043,-3.22E-05,0.0067198,0.002292,8.61E-05,0.010468,0.00055147,1.15E-05,0.0025515,0.0020473,-1.00E-05,0.0097213
395,0.0087092,9.64E-05,0.040907,0.0019803,-5.64E-05,0.0096075,0.024891,0.00082481,0.11494,0.0038442,3.48E-05,0.018138,0.0071589,-0.00018352,0.03493,0.013333,0.00071398,0.06114,0.0037548,-7.66E-05,0.017996,0.0056439,0.00023688,0.0258,0.0016795,4.22E-05,0.0077806,0.0051674,-1.35E-05,0.02457
400,0.019753,0.00017043,0.093397,0.0057272,-0.00017511,0.0279,0.046572,0.0014074,0.21648,0.0099958,4.33E-05,0.047585,0.01702,-0.00045,0.082987,0.027669,0.0015125,0.12727,0.0099223,-0.00021596,0.047817,0.013725,0.00055714,0.063109,0.0050747,0.00011929,0.023674,0.012876,-7.18E-05,0.061474
405,0.043229,0.00010813,0.20604,0.016016,-0.0005559,0.078393,0.083887,0.0019112,0.39367,0.02522,-3.79E-05,0.12091,0.038868,-0.001166,0.18999,0.055535,0.0027213,0.25736,0.025306,-0.00066376,0.12271,0.032253,0.0010862,0.14972,0.014864,0.00025043,0.070002,0.03093,-0.0003442,0.14866
410,0.08299,-9.46E-05,0.39833,0.037424,-0.0013882,0.18401,0.13657,0.0025254,0.64653,0.054474,-0.00028001,0.26336,0.076608,-0.002501,0.37648,0.099416,0.0043591,0.46557,0.054978,-0.001602,0.26781,0.066008,0.0019102,0.30927,0.036678,0.00045884,0.17407,0.064041,-0.00091026,0.30982
415,0.13661,-0.00057017,0.66336,0.075244,-0.0029457,0.37276,0.19422,0.0029099,0.93238,0.099911,-0.00076112,0.48842,0.1296,-0.0044579,0.64139,0.15413,0.0063064,0.73193,0.10107,-0.0031991,0.49629,0.11477,0.0029272,0.54537,0.074398,0.00067052,0.35763,0.11282,-0.0018999,0.55161
420,0.19478,-0.0007717,0.95627,0.12357,-0.0048045,0.61669,0.24642,0.0037739,1.1996,0.15556,-0.00097191,0.76857,0.18432,-0.0063898,0.92139,0.2128,0.0085913,1.029,0.15486,-0.0049609,0.76607,0.1735,0.0043828,0.83709,0.12723,0.0011024,0.6193,0.16867,-0.0027491,0.83355
425,0.24086,0.00014658,1.1979,0.17168,-0.0061685,0.8644,0.27857,0.0057833,1.3775,0.20644,-0.00027564,1.0328,0.22584,-0.0072042,1.1407,0.25868,0.012163,1.2753,0.20157,-0.0059245,1.006,0.22618,0.0070137,1.1095,0.18169,0.002415,0.8971,0.21623,-0.0026709,1.0812
430,0.28466,0.0023994,1.4337,0.21949,-0.0067557,1.1151,0.30754,0.0092171,1.5443,0.25751,0.0018886,1.3044,0.26473,-0.0071125,1.3518,0.30179,0.0177,1.5169,0.24834,-0.0061076,1.2504,0.27894,0.011407,1.3906,0.24206,0.0051673,1.2121,0.26281,-0.0014276,1.3302
435,0.31879,0.0070585,1.6308,0.27338,-0.0060497,1.4043,0.32354,0.014993,1.6545,0.30272,0.0062184,1.5569,0.3009,-0.0054957,1.556,0.32794,0.025868,1.6881,0.2931,-0.004638,1.4917,0.31876,0.018701,1.6202,0.29394,0.010612,1.4969,0.30393,0.0018396,1.5593
440,0.34745,0.01265,1.8023,0.32301,-0.0042383,1.6759,0.33554,0.021276,1.7439,0.34299,0.011966,1.7873,0.3324,-0.0029892,1.7374,0.34875,0.035398,1.8334,0.33326,-0.0021662,1.7136,0.35297,0.027399,1.8253,0.34209,0.017741,1.7696,0.33989,0.0061536,1.7659
445,0.34468,0.019945,1.8174,0.34694,0.00021577,1.8224,0.31871,0.0284,1.6892,0.35277,0.020044,1.8679,0.33002,0.0015051,1.7517,0.34111,0.045294,1.8401,0.34148,0.0023575,1.7749,0.3572,0.037538,1.8852,0.35963,0.0268,1.8927,0.34395,0.012585,1.8151
450,0.32847,0.028848,1.7636,0.35487,0.0070611,1.8902,0.29223,0.036311,1.5817,0.34853,0.030289,1.8767,0.31254,0.0073319,1.6862,0.3214,0.057724,1.7858,0.33486,0.0085364,1.7621,0.34975,0.050328,1.8875,0.36581,0.038792,1.9628,0.33421,0.02062,1.793
455,0.29064,0.040287,1.5963,0.32941,0.017384,1.7881,0.25297,0.046505,1.4061,0.31541,0.043907,1.7365,0.27572,0.015432,1.524,0.28082,0.072233,1.6192,0.30488,0.017125,1.6276,0.31401,0.065642,1.7413,0.33839,0.05348,1.8573,0.29956,0.031531,1.645
460,0.25834,0.056104,1.4666,0.30472,0.031325,1.6999,0.22021,0.061432,1.2734,0.28458,0.062116,1.6169,0.24739,0.026227,1.4162,0.24253,0.092052,1.4766,0.27971,0.029011,1.5246,0.27784,0.086467,1.6035,0.30587,0.073734,1.736,0.26932,0.046476,1.5286
465,0.23391,0.079164,1.3835,0.28491,0.051349,1.6462,0.19861,0.08393,1.2032,0.25822,0.087291,1.5245,0.23303,0.042679,1.3913,0.20536,0.12002,1.3425,0.26779,0.046802,1.4991,0.24392,0.11478,1.4776,0.27518,0.10094,1.628,0.24852,0.068069,1.4669
470,0.19376,0.10677,1.2162,0.23922,0.075588,1.4571,0.16617,0.11137,1.0734,0.21286,0.11596,1.3287,0.20125,0.064022,1.2751,0.1566,0.15229,1.1361,0.23634,0.069424,1.3745,0.19531,0.14675,1.2651,0.22623,0.13163,1.418,0.21009,0.094009,1.3098
