,Cat #01,,,Cat #02,,,Cat #03,,,Cat #04,,,Cat #05,,,Cat #06,,,Cat #07,,,Cat #08,,,Cat #09,,,Cat #10,,
,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
390,0.001711,0.0018714,0.082871,0.00019403,0.00023009,0.015272,0.0071166,0.0076845,0.28345,0.00065277,0.00072306,0.031967,0.00085477,0.001108,0.067857,0.0038653,0.004332,0.13558,0.00045401,0.00049838,0.03145,0.0013264,0.0014043,0.048983,0.00028019,0.00029817,0.01194,0.00080794,0.00091396,0.045493
395,0.0040145,0.0045083,0.19142,0.00057797,0.00070357,0.044963,0.013791,0.015231,0.53783,0.0017302,0.0019847,0.084873,0.002129,0.0027718,0.16346,0.0084427,0.0096034,0.28604,0.0012433,0.0014057,0.084221,0.003352,0.003623,0.12072,0.00087774,0.00095771,0.036408,0.0020761,0.0023962,0.11498
400,0.0088256,0.01025,0.43704,0.0016088,0.0020211,0.13057,0.025071,0.0284,1.0129,0.0042559,0.0050912,0.22266,0.0050225,0.0064752,0.38836,0.017563,0.020324,0.59543,0.0031917,0.0037673,0.22378,0.0080197,0.0088857,0.29528,0.0025946,0.0029298,0.11077,0.0049917,0.0058677,0.28768
405,0.018078,0.021661,0.96413,0.0041973,0.0054374,0.36688,0.04227,0.049269,1.842,0.010061,0.012385,0.56578,0.010889,0.014186,0.8891,0.033788,0.039859,1.204,0.0076023,0.0093098,0.57427,0.017799,0.020249,0.70054,0.0071297,0.0083172,0.32755,0.011201,0.013559,0.69568
410,0.033139,0.041174,1.8639,0.0093417,0.012592,0.86113,0.065741,0.079533,3.025,0.020641,0.026675,1.2323,0.020384,0.027763,1.7618,0.057807,0.070729,2.178,0.015731,0.019876,1.2533,0.034809,0.041006,1.447,0.016789,0.020243,0.81449,0.022135,0.027906,1.4498
415,0.051742,0.069209,3.1038,0.017745,0.025819,1.7444,0.088801,0.11566,4.3622,0.036036,0.050212,2.2853,0.032894,0.047911,3.0014,0.086251,0.11215,3.4238,0.027319,0.037045,2.3225,0.057786,0.072852,2.5515,0.032335,0.041826,1.6733,0.036934,0.050352,2.5811
420,0.072121,0.10437,4.474,0.028482,0.044955,2.8857,0.11011,0.15588,5.6118,0.055484,0.08369,3.5957,0.045024,0.072608,4.3113,0.11549,0.1637,4.8127,0.040681,0.059319,3.5848,0.08504,0.11642,3.9158,0.053816,0.075255,2.8973,0.054016,0.080453,3.9
425,0.0905,0.1438,5.6035,0.040088,0.069517,4.0445,0.12626,0.19664,6.4429,0.07507,0.12397,4.8313,0.055385,0.098932,5.3372,0.14237,0.22228,5.9638,0.053345,0.085091,4.7072,0.1124,0.16923,5.1891,0.077689,0.11923,4.1963,0.07015,0.11494,5.0582
430,0.11188,0.19297,6.7058,0.053612,0.10099,5.2168,0.14554,0.2467,7.2218,0.098915,0.17669,6.1007,0.067213,0.13172,6.3238,0.17374,0.29597,7.092,0.068126,0.11785,5.8501,0.14472,0.23721,6.5027,0.10762,0.1796,5.6688,0.08904,0.15921,6.2221
435,0.13672,0.25598,7.6256,0.072639,0.14831,6.5689,0.16705,0.30754,7.7351,0.12664,0.24446,7.2801,0.08237,0.17572,7.2778,0.20587,0.38294,7.8897,0.086923,0.16313,6.9779,0.18044,0.32197,7.5742,0.14201,0.25771,6.9992,0.11194,0.21643,7.2923
