,R,G,B
390,1.78E-06,7.45E-07,9.06E-05
391,2.08E-06,8.52E-07,0.00010561
392,2.42E-06,9.73E-07,0.00012282
393,2.80E-06,1.11E-06,0.00014252
394,3.25E-06,1.27E-06,0.00016502
395,3.75E-06,1.44E-06,0.00019065
396,4.32E-06,1.64E-06,0.00021978
397,4.97E-06,1.87E-06,0.00025279
398,5.71E-06,2.12E-06,0.00029013
399,6.54E-06,2.41E-06,0.00033225
400,7.47E-06,2.73E-06,0.00037965
401,8.51E-06,3.10E-06,0.00043285
402,9.69E-06,3.50E-06,0.00049242
403,1.10E-05,3.96E-06,0.00055896
404,1.25E-05,4.48E-06,0.00063309
405,1.41E-05,5.06E-06,0.00071547
406,1.59E-05,5.71E-06,0.00080679
407,1.79E-05,6.43E-06,0.00090776
408,2.00E-05,7.24E-06,0.0010191
409,2.25E-05,8.15E-06,0.0011416
410,2.51E-05,9.16E-06,0.0012761
411,2.80E-05,1.03E-05,0.0014232
412,3.12E-05,1.15E-05,0.0015837
413,3.46E-05,1.29E-05,0.0017585
414,3.83E-05,1.45E-05,0.0019483
415,4.24E-05,1.62E-05,0.0021538
416,4.67E-05,1.81E-05,0.0023758
417,5.14E-05,2.02E-05,0.0026149
418,5.65E-05,2.26E-05,0.0028717
419,6.19E-05,2.52E-05,0.0031467
420,6.77E-05,2.80E-05,0.0034406
421,7.38E-05,3.12E-05,0.0037535
422,8.04E-05,3.47E-05,0.004086
423,8.73E-05,3.85E-05,0.0044381
424,9.46E-05,4.28E-05,0.0048099
425,0.00010235,4.74E-05,0.0052013
426,0.00011044,5.25E-05,0.0056123
427,0.00011891,5.82E-05,0.0060424
428,0.00012775,6.43E-05,0.0064911
429,0.00013694,7.11E-05,0.0069578
430,0.00014647,7.84E-05,0.0074416
431,0.00015632,8.65E-05,0.0079416
432,0.00016647,9.53E-05,0.0084564
433,0.00017689,0.00010496,0.0089849
434,0.00018754,0.00011544,0.0095253
435,0.00019841,0.00012686,0.010076
436,0.00020944,0.00013929,0.010635
437,0.0002206,0.00015279,0.0112
438,0.00023184,0.00016745,0.01177
439,0.00024312,0.00018335,0.012341
440,0.00025439,0.00020058,0.012912
441,0.00026561,0.00021924,0.013479
442,0.00027671,0.00023941,0.01404
443,0.00028764,0.0002612,0.014592
444,0.00029835,0.00028471,0.015132
445,0.00030878,0.00031007,0.015658
446,0.00031888,0.00033738,0.016167
447,0.00032859,0.00036676,0.016655
448,0.00033785,0.00039835,0.01712
449,0.00034662,0.00043226,0.01756
450,0.00035484,0.00046864,0.017971
451,0.00036247,0.00050762,0.018351
452,0.00036945,0.00054934,0.018698
453,0.00037575,0.00059396,0.01901
454,0.00038133,0.00064163,0.019284
455,0.00038616,0.0006925,0.019519
456,0.0003902,0.00074672,0.019714
457,0.00039343,0.00080447,0.019867
458,0.00039583,0.0008659,0.019976
459,0.0003974,0.00093118,0.020042
460,0.00039811,0.0010005,0.020065
461,0.00039797,0.001074,0.020042
462,0.00039699,0.0011518,0.019976
463,0.00039517,0.0012342,0.019867
464,0.00039252,0.0013213,0.019714
465,0.00038907,0.0014132,0.019519
466,0.00038484,0.0015102,0.019284
467,0.00037987,0.0016124,0.01901
468,0.00037418,0.0017199,0.018698
469,0.00036782,0.001833,0.018351
470,0.00036083,0.0019517,0.017971
471,0.00035326,0.0020763,0.01756
472,0.00034515,0.0022068,0.01712
473,0.00033657,0.0023434,0.016655
474,0.00032756,0.0024862,0.016167
475,0.00031817,0.0026354,0.015658
476,0.00030847,0.0027909,0.015132
477,0.00029851,0.002953,0.014592
478,0.00028835,0.0031217,0.01404
479,0.00027804,0.0032971,0.013479
480,0.00026764,0.0034791,0.012912
481,0.0002572,0.0036679,0.012341
