,R,G,B
390,4.58E-14,3.73E-08,0.00010435
391,5.33E-14,4.34E-08,0.00012145
392,6.20E-14,5.04E-08,0.00014105
393,7.18E-14,5.84E-08,0.00016345
394,8.30E-14,6.75E-08,0.00018899
395,9.58E-14,7.79E-08,0.00021805
396,1.10E-13,8.97E-08,0.00025103
397,1.27E-13,1.03E-07,0.00028837
398,1.45E-13,1.18E-07,0.00033053
399,1.66E-13,1.35E-07,0.00037804
400,1.89E-13,1.54E-07,0.00043143
401,2.16E-13,1.76E-07,0.00049129
402,2.45E-13,1.99E-07,0.00055823
403,2.78E-13,2.26E-07,0.00063291
404,3.14E-13,2.56E-07,0.00071601
405,3.55E-13,2.89E-07,0.00080826
406,4.00E-13,3.25E-07,0.00091041
407,4.49E-13,3.66E-07,0.0010232
408,5.04E-13,4.10E-07,0.0011475
409,5.64E-13,4.59E-07,0.0012841
410,6.30E-13,5.13E-07,0.0014338
411,7.02E-13,5.71E-07,0.0015975
412,7.80E-13,6.35E-07,0.0017759
413,8.65E-13,7.04E-07,0.00197
414,9.58E-13,7.80E-07,0.0021805
415,1.06E-12,8.61E-07,0.0024083
416,1.17E-12,9.49E-07,0.0026541
417,1.28E-12,1.04E-06,0.0029185
418,1.41E-12,1.15E-06,0.0032024
419,1.54E-12,1.26E-06,0.0035061
420,1.68E-12,1.37E-06,0.0038303
421,1.83E-12,1.50E-06,0.0041753
422,1.99E-12,1.63E-06,0.0045415
423,2.16E-12,1.77E-06,0.0049291
424,2.34E-12,1.92E-06,0.005338
425,2.53E-12,2.07E-06,0.0057682
426,2.73E-12,2.24E-06,0.0062196
427,2.94E-12,2.41E-06,0.0066916
428,3.16E-12,2.59E-06,0.0071837
429,3.38E-12,2.78E-06,0.0076952
430,3.61E-12,2.98E-06,0.0082252
431,3.85E-12,3.19E-06,0.0087725
432,4.10E-12,3.40E-06,0.0093358
433,4.35E-12,3.62E-06,0.0099135
434,4.61E-12,3.86E-06,0.010504
435,4.88E-12,4.10E-06,0.011106
436,5.15E-12,4.35E-06,0.011716
437,5.42E-12,4.61E-06,0.012333
438,5.69E-12,4.89E-06,0.012954
439,5.96E-12,5.18E-06,0.013576
440,6.24E-12,5.48E-06,0.014198
441,6.51E-12,5.80E-06,0.014816
442,6.78E-12,6.14E-06,0.015426
443,7.04E-12,6.51E-06,0.016027
444,7.30E-12,6.90E-06,0.016615
445,7.55E-12,7.33E-06,0.017187
446,7.79E-12,7.80E-06,0.01774
447,8.02E-12,8.33E-06,0.018271
448,8.25E-12,8.92E-06,0.018776
449,8.46E-12,9.58E-06,0.019254
450,8.65E-12,1.03E-05,0.0197
451,8.83E-12,1.12E-05,0.020113
452,9.00E-12,1.22E-05,0.02049
453,9.15E-12,1.34E-05,0.020829
454,9.28E-12,1.47E-05,0.021126
455,9.39E-12,1.63E-05,0.021382
456,9.48E-12,1.81E-05,0.021593
457,9.56E-12,2.03E-05,0.021758
458,9.61E-12,2.28E-05,0.021877
459,9.64E-12,2.58E-05,0.021949
460,9.65E-12,2.93E-05,0.021973
461,9.64E-12,3.33E-05,0.021949
462,9.61E-12,3.81E-05,0.021877
463,9.56E-12,4.37E-05,0.021758
464,9.48E-12,5.02E-05,0.021593
465,9.39E-12,5.78E-05,0.021382
466,9.28E-12,6.67E-05,0.021126
467,9.15E-12,7.69E-05,0.020829
468,9.00E-12,8.88E-05,0.02049
469,8.83E-12,0.00010251,0.020113
470,8.65E-12,0.00011832,0.019701
471,8.46E-12,0.00013651,0.019254
472,8.25E-12,0.00015738,0.018777
473,8.03E-12,0.00018127,0.018271
474,7.79E-12,0.00020854,0.01774
475,7.55E-12,0.0002396,0.017187
476,7.30E-12,0.00027488,0.016615
477,7.04E-12,0.00031487,0.016027
478,6.78E-12,0.00036007,0.015427
479,6.51E-12,0.00041103,0.014816
480,6.24E-12,0.00046834,0.014198
481,5.97E-12,0.00053264,0.013577
482,5.69E-12,0.00060458,0.012954
483,5.42E-12,0.00068488,0.012333
484,5.15E-12,0.00077427,0.011716
485,4.89E-12,0.00087352,0.011106
486,4.63E-12,0.00098344,0.010505
487,4.38E-12,0.0011049,0.0099141
488,4.13E-12,0.0012387,0.0093364
489,3.90E-12,0.0013857,0.0087732
490,3.68E-12,0.0015468,0.008226
491,3.48E-12,0.0017229,0.0076962
492,3.30E-12,0.0019149,0.0071848
493,3.15E-12,0.0021236,0.0066927
494,3.04E-12,0.00235,0.0062208
495,2.98E-12,0.0025947,0.0057696
496,2.98E-12,0.0028587,0.0053395
497,3.08E-12,0.0031426,0.0049308
498,3.31E-12,0.003447,0.0045434
499,3.71E-12,0.0037727,0.0041774
500,4.36E-12,0.0041199,0.0038325
501,5.34E-12,0.0044891,0.0035085
502,6.79E-12,0.0048806,0.003205
503,8.88E-12,0.0052945,0.0029214
504,1.19E-11,0.0057307,0.0026572
505,1.61E-11,0.0061892,0.0024117
506,2.20E-11,0.0066695,0.0021841
507,3.03E-11,0.0071711,0.0019739
508,4.19E-11,0.0076933,0.0017801
509,5.78E-11,0.0082352,0.0016019
510,7.98E-11,0.0087958,0.0014385
511,1.10E-10,0.0093736,0.0012891
512,1.51E-10,0.0099672,0.0011529
513,2.08E-10,0.010575,0.0010289
514,2.85E-10,0.011195,0.00091644
515,3.89E-10,0.011824,0.00081464
516,5.31E-10,0.012462,0.00072273
517,7.22E-10,0.013104,0.00063997
518,9.79E-10,0.01375,0.00056564
519,1.32E-09,0.014394,0.00049905
520,1.79E-09,0.015036,0.00043954
521,2.40E-09,0.015671,0.00038649
522,3.23E-09,0.016297,0.00033932
523,4.32E-09,0.01691,0.00029748
524,5.76E-09,0.017508,0.00026047
525,7.67E-09,0.018086,0.0002278
526,1.02E-08,0.018641,0.00019904
527,1.35E-08,0.019171,0.00017379
528,1.78E-08,0.019672,0.00015166
529,2.34E-08,0.020142,0.00013231
530,3.08E-08,0.020577,0.00011545
531,4.03E-08,0.020974,0.00010077
532,5.26E-08,0.021332,8.80E-05
533,6.85E-08,0.021648,7.70E-05
534,8.90E-08,0.021919,6.75E-05
535,1.15E-07,0.022144,5.92E-05
536,1.49E-07,0.022323,5.21E-05
537,1.92E-07,0.022452,4.60E-05
538,2.46E-07,0.022532,4.08E-05
539,3.16E-07,0.022562,3.63E-05
540,4.04E-07,0.022542,3.25E-05
541,5.14E-07,0.022472,2.92E-05
542,6.54E-07,0.022352,2.63E-05
543,8.29E-07,0.022184,2.39E-05
544,1.05E-06,0.021968,2.18E-05
545,1.32E-06,0.021705,2.00E-05
546,1.66E-06,0.021398,1.84E-05
547,2.08E-06,0.021049,1.71E-05
548,2.60E-06,0.020659,1.59E-05
549,3.25E-06,0.020232,1.49E-05
550,4.04E-06,0.019769,1.40E-05
551,5.01E-06,0.019274,1.32E-05
552,6.19E-06,0.018749,1.25E-05
553,7.64E-06,0.018199,1.18E-05
554,9.40E-06,0.017625,1.13E-05
555,1.15E-05,0.017031,1.07E-05
556,1.41E-05,0.016421,1.03E-05
557,1.72E-05,0.015797,9.89E-06
558,2.10E-05,0.015164,9.54E-06
559,2.54E-05,0.014523,9.23E-06
560,3.08E-05,0.013878,8.98E-06
561,3.72E-05,0.013233,8.78E-06
562,4.48E-05,0.01259,8.64E-06
563,5.37E-05,0.011951,8.56E-06
564,6.43E-05,0.01132,8.55E-06
565,7.68E-05,0.010698,8.63E-06
566,9.15E-05,0.010087,8.80E-06
567,0.00010866,0.0094907,9.06E-06
568,0.0001287,0.0089095,9.44E-06
569,0.00015203,0.0083453,9.96E-06
570,0.00017909,0.0077995,1.06E-05
571,0.0002104,0.0072732,1.14E-05
572,0.00024652,0.0067674,1.24E-05
573,0.00028806,0.0062827,1.36E-05
574,0.00033568,0.0058197,1.51E-05
575,0.00039011,0.0053789,1.68E-05
576,0.00045214,0.0049605,1.88E-05
577,0.00052262,0.0045644,2.10E-05
578,0.00060245,0.0041906,2.37E-05
579,0.00069259,0.0038389,2.67E-05
580,0.00079405,0.0035089,3.01E-05
581,0.00090792,0.0032001,3.40E-05
582,0.0010353,0.002912,3.84E-05
583,0.0011774,0.0026439,4.33E-05
584,0.0013353,0.0023952,4.88E-05
585,0.0015103,0.0021651,5.49E-05
586,0.0017036,0.0019527,6.16E-05
587,0.0019164,0.0017573,6.91E-05
588,0.00215,0.0015779,7.73E-05
589,0.0024056,0.0014136,8.63E-05
590,0.0026842,0.0012637,9.61E-05
591,0.002987,0.0011271,0.0001068
592,0.0033149,0.0010031,0.00011839
593,0.0036689,0.0008907,0.00013091
594,0.0040496,0.00078916,0.00014439
595,0.0044578,0.00069764,0.00015885
