,R,G,B
390,5.68E-10,2.88E-15,8.72E-05
391,6.65E-10,3.37E-15,0.00010208
392,7.76E-10,3.94E-15,0.00011924
393,9.05E-10,4.59E-15,0.00013896
394,1.05E-09,5.34E-15,0.00016158
395,1.22E-09,6.19E-15,0.00018745
396,1.41E-09,7.17E-15,0.00021697
397,1.63E-09,8.28E-15,0.00025058
398,1.88E-09,9.54E-15,0.00028873
399,2.16E-09,1.10E-14,0.00033193
400,2.48E-09,1.26E-14,0.00038074
401,2.84E-09,1.44E-14,0.00043574
402,3.24E-09,1.64E-14,0.00049755
403,3.69E-09,1.87E-14,0.00056684
404,4.19E-09,2.13E-14,0.00064433
405,4.76E-09,2.41E-14,0.00073074
406,5.38E-09,2.73E-14,0.00082686
407,6.08E-09,3.08E-14,0.00093351
408,6.84E-09,3.47E-14,0.0010515
409,7.69E-09,3.90E-14,0.0011818
410,8.63E-09,4.38E-14,0.0013252
411,9.65E-09,4.90E-14,0.0014826
412,1.08E-08,5.47E-14,0.0016549
413,1.20E-08,6.10E-14,0.0018431
414,1.33E-08,6.78E-14,0.0020481
415,1.48E-08,7.53E-14,0.0022707
416,1.64E-08,8.35E-14,0.0025118
417,1.80E-08,9.24E-14,0.0027722
418,1.99E-08,1.02E-13,0.0030526
419,2.18E-08,1.13E-13,0.0033538
420,2.39E-08,1.25E-13,0.0036764
421,2.62E-08,1.39E-13,0.0040209
422,2.86E-08,1.55E-13,0.0043877
423,3.11E-08,1.75E-13,0.0047772
424,3.38E-08,1.99E-13,0.0051894
425,3.66E-08,2.31E-13,0.0056244
426,3.96E-08,2.73E-13,0.0060821
427,4.27E-08,3.33E-13,0.0065621
428,4.60E-08,4.19E-13,0.007064
429,4.94E-08,5.46E-13,0.007587
430,5.29E-08,7.37E-13,0.0081303
431,5.66E-08,1.03E-12,0.0086927
432,6.04E-08,1.47E-12,0.0092731
433,6.42E-08,2.14E-12,0.0098697
434,6.82E-08,3.18E-12,0.010481
435,7.23E-08,4.76E-12,0.011105
436,7.64E-08,7.17E-12,0.011739
437,8.06E-08,1.08E-11,0.012382
438,8.48E-08,1.64E-11,0.01303
439,8.91E-08,2.48E-11,0.013681
440,9.33E-08,3.75E-11,0.014332
441,9.75E-08,5.64E-11,0.01498
